Date,Name,Year,Letterboxd URI
2021-08-20,Midsommar,2019,https://boxd.it/jhxe
2021-08-20,I'm Thinking of Ending Things,2020,https://boxd.it/i4IQ
2021-08-20,The Silence of the Lambs,1991,https://boxd.it/2aHW
2021-08-20,The Shining,1980,https://boxd.it/29Nu
2021-08-20,Drive,2011,https://boxd.it/IG
2021-08-20,Birdman or (The Unexpected Virtue of Ignorance),2014,https://boxd.it/5RFA
2021-08-20,Blade Runner 2049,2017,https://boxd.it/b8wK
2021-08-20,Her,2013,https://boxd.it/4O24
2021-08-20,Taxi Driver,1976,https://boxd.it/2b8y
2021-08-20,Enter the Void,2009,https://boxd.it/1dy2
2021-08-20,1917,2019,https://boxd.it/jj4y
2021-08-20,Amélie,2001,https://boxd.it/2aUc
2021-08-20,Leviathan,2014,https://boxd.it/7Ub8
2021-08-20,Clickbait,2019,https://boxd.it/ilqO
2021-08-20,Perfect Blue,1997,https://boxd.it/1W7A
2021-08-20,Promare,2019,https://boxd.it/keFQ
2021-08-20,The Trial of the Chicago 7,2020,https://boxd.it/kn3w
2021-08-20,Hot Fuzz,2007,https://boxd.it/2416
2021-08-20,2001: A Space Odyssey,1968,https://boxd.it/2bf0
2021-08-20,The Godfather,1972,https://boxd.it/2aNK
2021-08-20,Come and See,1985,https://boxd.it/1w9q
2021-08-20,A.I. Artificial Intelligence,2001,https://boxd.it/29Ve
2021-08-25,Falling Down,1993,https://boxd.it/194M
2021-08-25,Irreversible,2002,https://boxd.it/29as
2021-08-25,Requiem for a Dream,2000,https://boxd.it/29VI
2021-08-25,American History X,1998,https://boxd.it/2bdo
2021-08-25,Blue Velvet,1986,https://boxd.it/29BI
2021-08-25,Ichi the Killer,2001,https://boxd.it/1Y1O
2021-08-25,Chungking Express,1994,https://boxd.it/1UDa
2021-08-25,Neon Genesis Evangelion: The End of Evangelion,1997,https://boxd.it/1GRM
2022-03-27,X,2022,https://boxd.it/sxVa
2022-03-27,Drive My Car,2021,https://boxd.it/sv94
2022-03-27,Belfast,2021,https://boxd.it/tefG
2022-03-27,The Post,2017,https://boxd.it/fTeG
2022-03-27,The Terminal,2004,https://boxd.it/2a2O
2022-03-27,NANA,2006,https://boxd.it/qBBE
2022-03-28,Little Miss Sunshine,2006,https://boxd.it/29EW
2022-03-28,The Big Lebowski,1998,https://boxd.it/2b6C
2022-03-28,The Lighthouse,2019,https://boxd.it/icFU
2022-03-28,Prisoners,2013,https://boxd.it/4E5i
2022-03-28,"Three Billboards Outside Ebbing, Missouri",2017,https://boxd.it/ceBS
2022-03-28,What We Do in the Shadows,2014,https://boxd.it/7eQy
2022-03-28,Nocturnal Animals,2016,https://boxd.it/bkFu
2022-03-28,The Hunt,2012,https://boxd.it/3wEC
2022-03-28,Riders of Justice,2020,https://boxd.it/oHQc
2022-03-28,Watchmen,2019,https://boxd.it/ol5e
2022-03-28,Mr. Nobody,2009,https://boxd.it/1k44
2022-03-28,V for Vendetta,2005,https://boxd.it/29Ik
2022-03-28,Paterson,2016,https://boxd.it/cRk2
2022-03-28,Cure,1997,https://boxd.it/1blA
2022-03-28,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK
2022-03-28,Yi Yi,2000,https://boxd.it/1vCw
2022-03-28,12 Angry Men,1957,https://boxd.it/2auI
